org_code,org_name,parent_org,persistent_bottom_quartile
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,NHS ENGLAND LONDON,False
NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",False
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),False
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS (WEST MIDLANDS),False
R1J,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),False
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),False
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),False
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),False
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",False
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,False
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),True
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,False
R1F,ISLE OF WIGHT NHS TRUST,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",False
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND (EAST),False
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",False
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),False
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,False
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),False
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),False
RJ2,LEWISHAM AND GREENWICH NHS TRUST,NHS ENGLAND LONDON,False
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),False
